PPID,PID,Process Name,Process Command Line,Process Path,Process SHA-256 Hash,Process State,Win32 First Seen,Win32 Last Seen,Sysmon Event ID,Sysmon Create Time,Sysmon Terminate Time,Connection State,Connection Start Time,Connection Terminate Time, IP Address,FQDN,Source Port,Destination Port,Transport Protocol
"916","1188","wininit.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"","1188","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49665","","TCP"
"","1188","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49665","","TCP"
"1188","1316","services.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"","1316","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49685","","TCP"
"","1316","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49685","","TCP"
"1188","1344","LsaIso.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1188","1364","lsass.exe","","","","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","3","","","","","","","","","",""
"","1364","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49664","","TCP"
"","1364","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","49664","","TCP"
"","1364","  +- [connection]","","","","","","","3","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:46:14","104.18.20.213","","53940","80","TCP"
"","1364","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","104.18.20.213","","53940","80","TCP"
"1316","1496","svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1188","1532","fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","0d1e5714744404a8cd9d18f67ff86a59a78d4d53559d58fe75900b81da212fc6","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1404","IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHDCPSvc.exe","dda4eb6bbb34e367bdaf35f1356d3702a7247fccdd29583dc22fdf7e1ce2d911","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1544","WUDFHost.exe","C:\Windows\System32\WUDFHost.exe -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-6570d7d5-4f9f-4734-86f0-189a8b1d6be5 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-23f71e96-0a4f-4eb5-86e2-cae5b1797f0a -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-836579c9-7e09-487c-839c-6922231cfba4 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-c9d2bd20-7d6e-4827-9e54-ed9847a1adc3 -LifetimeId:ec2ab78e-8d9c-4ed6-9c55-beee71da8122 -DeviceGroupId:WudfDefaultDevicePool -HostArg:0","C:\Windows\System32\WUDFHost.exe","0068ce686f9c8685fbf0e12d090a683592a66650d24f9ab1759374723709ad82","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1656","svchost.exe","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"","1656","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","135","","TCP"
"","1656","  +- [connection]","","","","","","","","","","LISTENING","2026-02-15 11:39:04","","","","135","","TCP"
"1316","1716","svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1876","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1988","WUDFHost.exe","C:\Windows\System32\WUDFHost.exe -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-2493c943-4994-44bb-86b8-4cad18781c58 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-53977649-35c6-4e89-a325-945f0c0434af -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-c6ac5c88-4b9d-4563-8ddc-6031b7d14f26 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65740902-cd8c-4724-8276-119abb8efe1c -LifetimeId:004eae22-8c82-47a5-9e63-3867afc83870 -DeviceGroupId: -HostArg:0","C:\Windows\System32\WUDFHost.exe","0068ce686f9c8685fbf0e12d090a683592a66650d24f9ab1759374723709ad82","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2028","svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","C:\WINDOWS\System32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2036","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1380","svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","1672","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2068","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s hidserv","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2084","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2136","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2148","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -s SCardSvr","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2292","WUDFHost.exe","C:\Windows\System32\WUDFHost.exe -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-d24c751b-3828-473b-b7a1-01c2b8fe5158 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-5f53d121-0270-4f65-ae8c-0e65d550e34f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-c78a4f9f-eff5-4560-bd87-9bc69f371601 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-72adf4ad-25d2-4590-9702-05587fc3bb25 -LifetimeId:44ce50de-1df8-4993-925e-4131faaa1990 -DeviceGroupId: -HostArg:0","C:\Windows\System32\WUDFHost.exe","0068ce686f9c8685fbf0e12d090a683592a66650d24f9ab1759374723709ad82","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2380","svchost.exe","C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm","C:\WINDOWS\System32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2396","IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHeciSvc.exe","91e15254153dc37eca321cf44c7ebc0691c961725839683525ed6717198ba2f5","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2460","svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s SENS","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2660","igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxCUIService.exe","9bcc1672de269e41b64fe16e66c2f0715035aeefe4b21165e553f67ed9e4805a","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2708","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2836","UshUpgradeService.exe","C:\WINDOWS\System32\UshUpgradeService.exe","C:\WINDOWS\System32\UshUpgradeService.exe","fc912c5b812f8722b1286f1c97905c65a220b168728e11b7449d4f6e28b09016","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2204","svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes","C:\WINDOWS\System32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","","","","","","","","","","",""
"1316","2944","svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","C:\WINDOWS\system32\svchost.exe","44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189","Running","2026-02-15 11:38:58","2026-02-15 11:47:20","3","","","","","","","","","",""
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","5353","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","5355","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","54914","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:39:04","2026-02-15 11:45:14","","","56736","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","60507","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","5353","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","5355","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","54914","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:39:04","2026-02-15 11:45:14","","","56736","","UDP"
"","2944","  +- [connection]","","","","","","","","","","CONNECTIONLESS","2026-02-15 11:39:04","","","","60507","","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:42:40","2026-02-15 11:42:40","2a02:a302:0:1:0:0:0:10","","58339","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:42:40","2026-02-15 11:42:40","2a02:a302:0:1:0:0:0:10","","63548","53","udp"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:44","2026-02-15 11:43:51","","","50713","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:44","2026-02-15 11:43:51","","","62173","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:44","2026-02-15 11:43:51","","","50713","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:44","2026-02-15 11:43:51","","","62173","","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:46","2026-02-15 11:43:46","2a02:a302:0:1:0:0:0:10","","50713","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:46","2026-02-15 11:43:46","2a02:a302:0:1:0:0:0:10","","62173","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:47","2026-02-15 11:43:47","2a02:a302:0:1:0:0:0:100","","62173","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:48","2026-02-15 11:43:48","2a02:a302:0:1:0:0:0:100","","50713","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:48","2026-02-15 11:43:48","192.168.0.1","","62173","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:48","2026-02-15 11:43:48","192.168.0.1","","50713","53","udp"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:54","2026-02-15 11:44:01","","","54819","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:54","2026-02-15 11:44:01","","","59370","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:54","2026-02-15 11:44:01","","","54819","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:43:54","2026-02-15 11:44:01","","","59370","","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:54","2026-02-15 11:43:54","192.168.0.1","","55350","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:54","2026-02-15 11:43:54","224.0.0.251","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:54","2026-02-15 11:43:54","146.70.232.227","","56736","53","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:54","2026-02-15 11:43:54","192.168.0.1","","62680","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:54","2026-02-15 11:43:54","192.168.0.1","","61515","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:55","2026-02-15 11:43:55","2a02:a302:0:1:0:0:0:10","","59370","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:55","2026-02-15 11:43:55","2a02:a302:0:1:0:0:0:10","","54819","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:56","2026-02-15 11:43:56","2a02:a302:0:1:0:0:0:100","","59370","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:56","2026-02-15 11:43:56","2a02:a302:0:1:0:0:0:100","","54819","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:59","2026-02-15 11:43:59","192.168.0.1","","54819","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:43:59","2026-02-15 11:43:59","192.168.0.1","","59370","53","udp"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","54551","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","63140","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","54551","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","63140","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","53566","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","62091","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","53566","","UDP"
"","2944","  +- [connection]","","","","","","","","","","ENDED","2026-02-15 11:45:14","2026-02-15 11:45:14","","","62091","","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","2a02:a302:0:1:0:0:0:10","","54551","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","2a02:a302:0:1:0:0:0:10","","63140","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","2a02:a302:0:1:0:0:0:100","","63140","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","146.70.232.229","","56736","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","146.70.232.227","","53566","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","2a02:a302:0:1:0:0:0:10","","49822","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:15","2026-02-15 11:45:15","2a02:a302:0:1:0:0:0:10","","62640","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","2a02:a302:0:1:0:0:0:10","","62091","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","2a02:a302:0:1:0:0:0:100","","62091","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","146.70.232.229","","53566","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","146.70.232.227","","55870","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","2a02:a302:0:1:0:0:0:10","","50416","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","2a02:a302:0:1:0:0:0:100","","50416","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","ff02:0:0:0:0:0:1:3","","52359","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","52359","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","55236","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","ff02:0:0:0:0:0:1:3","","60561","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","60561","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","53187","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","ff02:0:0:0:0:0:1:3","","64233","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","64233","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","ff02:0:0:0:0:0:0:fb","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.251","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","ff02:0:0:0:0:0:1:3","","52359","5355","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.251","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:16","2026-02-15 11:45:16","224.0.0.252","","52359","5355","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","172.21.1.128","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.251","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:0:fb","","5353","5353","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:0:fb","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.252","","56864","5355","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.251","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.251","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","192.168.0.1","","50416","53","udp"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:1:3","","60561","5355","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.252","","60561","5355","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","224.0.0.252","","53187","5355","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:0:fb","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:0:fb","","5353","5353","UDP"
"","2944","  +- [connection]","","","","","","","3","","","ATTEMPTED","2026-02-15 11:45:17","2026-02-15 11:45:17","ff02:0:0:0:0:0:1:3","","64233","5355","UDP"
